===k = 4.237===
  N  , vB,v,vA,col,|p
047-1, -23.605,37.737,38.300,A,|vA(38.299706) * 4.237000m + vB(-23.604704) * 4.237000m + v(37.737278) * m = 100.000000m
047-2, -0.178,-61.520,38.300,B,|vA(38.299706) * 4.237000m + vB(-0.178322) * 4.237000m + v(-61.520304) * m = 100.000000m
048-1, -0.178,99.999,0.179,A,|vA(0.178640) * 4.237000m + vB(-0.178322) * 4.237000m + v(99.998650) * m = 100.000000m
048-2, 38.079,-62.098,0.179,B,|vA(0.178640) * 4.237000m + vB(38.079067) * 4.237000m + v(-62.097905) * m = 100.000000m
049-1, 38.079,38.672,-23.605,A,|vA(-23.604650) * 4.237000m + vB(38.079067) * 4.237000m + v(38.671895) * m = 100.000000m
049-2, 38.305,37.713,-23.605,B,|vA(-23.604650) * 4.237000m + vB(38.305467) * 4.237000m + v(37.712638) * m = 100.000000m
050-1, 38.305,-61.505,-0.188,A,|vA(-0.187698) * 4.237000m + vB(38.305467) * 4.237000m + v(-61.504986) * m = 100.000000m
050-2, 0.188,99.999,-0.188,B,|vA(-0.187698) * 4.237000m + vB(0.188051) * 4.237000m + v(99.998504) * m = 100.000000m
051-1, 0.188,-62.113,38.073,A,|vA(38.073216) * 4.237000m + vB(0.188051) * 4.237000m + v(-62.112987) * m = 100.000000m
051-2, -23.605,38.696,38.073,B,|vA(38.073216) * 4.237000m + vB(-23.604593) * 4.237000m + v(38.696445) * m = 100.000000m
052-1, -23.605,37.688,38.311,A,|vA(38.311226) * 4.237000m + vB(-23.604593) * 4.237000m + v(37.687996) * m = 100.000000m
052-2, -0.197,-61.490,38.311,B,|vA(38.311226) * 4.237000m + vB(-0.197074) * 4.237000m + v(-61.489663) * m = 100.000000m
053-1, -0.197,99.998,0.197,A,|vA(0.197463) * 4.237000m + vB(-0.197074) * 4.237000m + v(99.998351) * m = 100.000000m
053-2, 38.067,-62.128,0.197,B,|vA(0.197463) * 4.237000m + vB(38.067362) * 4.237000m + v(-62.128063) * m = 100.000000m
054-1, 38.067,38.721,-23.605,A,|vA(-23.604533) * 4.237000m + vB(38.067362) * 4.237000m + v(38.720993) * m = 100.000000m
054-2, 38.317,37.663,-23.605,B,|vA(-23.604533) * 4.237000m + vB(38.316982) * 4.237000m + v(37.663352) * m = 100.000000m
055-1, 38.317,-61.474,-0.206,A,|vA(-0.206448) * 4.237000m + vB(38.316982) * 4.237000m + v(-61.474333) * m = 100.000000m
055-2, 0.207,99.998,-0.206,B,|vA(-0.206448) * 4.237000m + vB(0.206875) * 4.237000m + v(99.998190) * m = 100.000000m
056-1, 0.207,-62.143,38.062,A,|vA(38.061506) * 4.237000m + vB(0.206875) * 4.237000m + v(-62.143132) * m = 100.000000m
056-2, -23.604,38.746,38.062,B,|vA(38.061506) * 4.237000m + vB(-23.604470) * 4.237000m + v(38.745538) * m = 100.000000m
057-1, -23.604,37.639,38.323,A,|vA(38.322737) * 4.237000m + vB(-23.604470) * 4.237000m + v(37.638705) * m = 100.000000m
057-2, -0.216,-61.459,38.323,B,|vA(38.322737) * 4.237000m + vB(-0.215822) * 4.237000m + v(-61.458997) * m = 100.000000m
058-1, -0.216,99.998,0.216,A,|vA(0.216289) * 4.237000m + vB(-0.215822) * 4.237000m + v(99.998022) * m = 100.000000m
058-2, 38.056,-62.158,0.216,B,|vA(0.216289) * 4.237000m + vB(38.055648) * 4.237000m + v(-62.158196) * m = 100.000000m
059-1, 38.056,38.770,-23.604,A,|vA(-23.604404) * 4.237000m + vB(38.055648) * 4.237000m + v(38.770081) * m = 100.000000m
059-2, 38.328,37.614,-23.604,B,|vA(-23.604404) * 4.237000m + vB(38.328488) * 4.237000m + v(37.614056) * m = 100.000000m
060-1, 38.328,-61.444,-0.225,A,|vA(-0.225195) * 4.237000m + vB(38.328488) * 4.237000m + v(-61.443655) * m = 100.000000m
060-2, 0.226,99.998,-0.225,B,|vA(-0.225195) * 4.237000m + vB(0.225703) * 4.237000m + v(99.997846) * m = 100.000000m
061-1, 0.226,-62.173,38.050,A,|vA(38.049788) * 4.237000m + vB(0.225703) * 4.237000m + v(-62.173254) * m = 100.000000m
