===k = 2.000===
001-2, -2233.168,1133.333,6633.499,B,|vA(6633.499171) * 2.015000m + vB(-2233.168046) * 2.015000m + v(1133.332783) * m = 10000.000000m
===2===
===k = 2.016===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.016000m + vB(0.000000) * 2.016000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3368.700,6631.300,A,|vA(6631.299735) * 2.016000m + vB(0.000000) * 2.016000m + v(-3368.700265) * m = 10000.000000m
001-2, -2233.886,1134.814,6631.300,B,|vA(6631.299735) * 2.016000m + vB(-2233.886118) * 2.016000m + v(1134.814148) * m = 10000.000000m
===2===
===k = 2.017===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.017000m + vB(0.000000) * 2.017000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3370.898,6629.102,A,|vA(6629.101757) * 2.017000m + vB(0.000000) * 2.017000m + v(-3370.898243) * m = 10000.000000m
001-2, -2234.603,1136.295,6629.102,B,|vA(6629.101757) * 2.017000m + vB(-2234.602747) * 2.017000m + v(1136.295497) * m = 10000.000000m
===2===
===k = 2.018===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.018000m + vB(0.000000) * 2.018000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3373.095,6626.905,A,|vA(6626.905235) * 2.018000m + vB(0.000000) * 2.018000m + v(-3373.094765) * m = 10000.000000m
001-2, -2235.318,1137.777,6626.905,B,|vA(6626.905235) * 2.018000m + vB(-2235.317936) * 2.018000m + v(1137.776829) * m = 10000.000000m
===2===
===k = 2.019===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.019000m + vB(0.000000) * 2.019000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3375.290,6624.710,A,|vA(6624.710169) * 2.019000m + vB(0.000000) * 2.019000m + v(-3375.289831) * m = 10000.000000m
001-2, -2236.032,1139.258,6624.710,B,|vA(6624.710169) * 2.019000m + vB(-2236.031687) * 2.019000m + v(1139.258144) * m = 10000.000000m
===2===
===k = 2.020===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.020000m + vB(0.000000) * 2.020000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3377.483,6622.517,A,|vA(6622.516556) * 2.020000m + vB(0.000000) * 2.020000m + v(-3377.483444) * m = 10000.000000m
001-2, -2236.744,1140.739,6622.517,B,|vA(6622.516556) * 2.020000m + vB(-2236.744002) * 2.020000m + v(1140.739441) * m = 10000.000000m
===2===
===k = 2.021===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.021000m + vB(0.000000) * 2.021000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3379.676,6620.324,A,|vA(6620.324396) * 2.021000m + vB(0.000000) * 2.021000m + v(-3379.675604) * m = 10000.000000m
001-2, -2237.455,1142.221,6620.324,B,|vA(6620.324396) * 2.021000m + vB(-2237.454885) * 2.021000m + v(1142.220719) * m = 10000.000000m
===2===
===k = 2.022===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.022000m + vB(0.000000) * 2.022000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3381.866,6618.134,A,|vA(6618.133686) * 2.022000m + vB(0.000000) * 2.022000m + v(-3381.866314) * m = 10000.000000m
001-2, -2238.164,1143.702,6618.134,B,|vA(6618.133686) * 2.022000m + vB(-2238.164337) * 2.022000m + v(1143.701976) * m = 10000.000000m
===2===
===k = 2.023===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.023000m + vB(0.000000) * 2.023000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3384.056,6615.944,A,|vA(6615.944426) * 2.023000m + vB(0.000000) * 2.023000m + v(-3384.055574) * m = 10000.000000m
001-2, -2238.872,1145.183,6615.944,B,|vA(6615.944426) * 2.023000m + vB(-2238.872361) * 2.023000m + v(1145.183213) * m = 10000.000000m
===2===
===k = 2.024===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.024000m + vB(0.000000) * 2.024000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3386.243,6613.757,A,|vA(6613.756614) * 2.024000m + vB(0.000000) * 2.024000m + v(-3386.243386) * m = 10000.000000m
001-2, -2239.579,1146.664,6613.757,B,|vA(6613.756614) * 2.024000m + vB(-2239.578959) * 2.024000m + v(1146.664427) * m = 10000.000000m
===2===
===k = 2.025===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.025000m + vB(0.000000) * 2.025000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3388.430,6611.570,A,|vA(6611.570248) * 2.025000m + vB(0.000000) * 2.025000m + v(-3388.429752) * m = 10000.000000m
001-2, -2240.284,1148.146,6611.570,B,|vA(6611.570248) * 2.025000m + vB(-2240.284134) * 2.025000m + v(1148.145618) * m = 10000.000000m
===2===
===k = 2.026===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.026000m + vB(0.000000) * 2.026000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3390.615,6609.385,A,|vA(6609.385327) * 2.026000m + vB(0.000000) * 2.026000m + v(-3390.614673) * m = 10000.000000m
001-2, -2240.988,1149.627,6609.385,B,|vA(6609.385327) * 2.026000m + vB(-2240.987887) * 2.026000m + v(1149.626786) * m = 10000.000000m
===2===
===k = 2.027===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.027000m + vB(0.000000) * 2.027000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3392.798,6607.202,A,|vA(6607.201850) * 2.027000m + vB(0.000000) * 2.027000m + v(-3392.798150) * m = 10000.000000m
001-2, -2241.690,1151.108,6607.202,B,|vA(6607.201850) * 2.027000m + vB(-2241.690221) * 2.027000m + v(1151.107929) * m = 10000.000000m
===2===
===k = 2.028===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.028000m + vB(0.000000) * 2.028000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3394.980,6605.020,A,|vA(6605.019815) * 2.028000m + vB(0.000000) * 2.028000m + v(-3394.980185) * m = 10000.000000m
001-2, -2242.391,1152.589,6605.020,B,|vA(6605.019815) * 2.028000m + vB(-2242.391139) * 2.028000m + v(1152.589046) * m = 10000.000000m
===2===
===k = 2.029===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.029000m + vB(0.000000) * 2.029000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3397.161,6602.839,A,|vA(6602.839221) * 2.029000m + vB(0.000000) * 2.029000m + v(-3397.160779) * m = 10000.000000m
001-2, -2243.091,1154.070,6602.839,B,|vA(6602.839221) * 2.029000m + vB(-2243.090643) * 2.029000m + v(1154.070136) * m = 10000.000000m
===2===
===k = 2.030===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.030000m + vB(0.000000) * 2.030000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3399.340,6600.660,A,|vA(6600.660066) * 2.030000m + vB(0.000000) * 2.030000m + v(-3399.339934) * m = 10000.000000m
001-2, -2243.789,1155.551,6600.660,B,|vA(6600.660066) * 2.030000m + vB(-2243.788735) * 2.030000m + v(1155.551199) * m = 10000.000000m
===2===
===k = 2.031===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.031000m + vB(0.000000) * 2.031000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3401.518,6598.482,A,|vA(6598.482349) * 2.031000m + vB(0.000000) * 2.031000m + v(-3401.517651) * m = 10000.000000m
001-2, -2244.485,1157.032,6598.482,B,|vA(6598.482349) * 2.031000m + vB(-2244.485418) * 2.031000m + v(1157.032233) * m = 10000.000000m
===2===
===k = 2.032===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.032000m + vB(0.000000) * 2.032000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3403.694,6596.306,A,|vA(6596.306069) * 2.032000m + vB(0.000000) * 2.032000m + v(-3403.693931) * m = 10000.000000m
001-2, -2245.181,1158.513,6596.306,B,|vA(6596.306069) * 2.032000m + vB(-2245.180694) * 2.032000m + v(1158.513238) * m = 10000.000000m
===2===
===k = 2.033===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.033000m + vB(0.000000) * 2.033000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3405.869,6594.131,A,|vA(6594.131223) * 2.033000m + vB(0.000000) * 2.033000m + v(-3405.868777) * m = 10000.000000m
001-2, -2245.875,1159.994,6594.131,B,|vA(6594.131223) * 2.033000m + vB(-2245.874564) * 2.033000m + v(1159.994212) * m = 10000.000000m
===2===
===k = 2.034===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.034000m + vB(0.000000) * 2.034000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3408.042,6591.958,A,|vA(6591.957811) * 2.034000m + vB(0.000000) * 2.034000m + v(-3408.042189) * m = 10000.000000m
001-2, -2246.567,1161.475,6591.958,B,|vA(6591.957811) * 2.034000m + vB(-2246.567033) * 2.034000m + v(1161.475156) * m = 10000.000000m
===2===
===k = 2.035===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.035000m + vB(0.000000) * 2.035000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3410.214,6589.786,A,|vA(6589.785832) * 2.035000m + vB(0.000000) * 2.035000m + v(-3410.214168) * m = 10000.000000m
001-2, -2247.258,1162.956,6589.786,B,|vA(6589.785832) * 2.035000m + vB(-2247.258101) * 2.035000m + v(1162.956067) * m = 10000.000000m
===2===
===k = 2.036===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.036000m + vB(0.000000) * 2.036000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3412.385,6587.615,A,|vA(6587.615283) * 2.036000m + vB(0.000000) * 2.036000m + v(-3412.384717) * m = 10000.000000m
001-2, -2247.948,1164.437,6587.615,B,|vA(6587.615283) * 2.036000m + vB(-2247.947771) * 2.036000m + v(1164.436945) * m = 10000.000000m
===2===
===k = 2.037===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.037000m + vB(0.000000) * 2.037000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3414.554,6585.446,A,|vA(6585.446164) * 2.037000m + vB(0.000000) * 2.037000m + v(-3414.553836) * m = 10000.000000m
001-2, -2248.636,1165.918,6585.446,B,|vA(6585.446164) * 2.037000m + vB(-2248.636046) * 2.037000m + v(1165.917790) * m = 10000.000000m
===2===
===k = 2.038===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.038000m + vB(0.000000) * 2.038000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3416.722,6583.278,A,|vA(6583.278473) * 2.038000m + vB(0.000000) * 2.038000m + v(-3416.721527) * m = 10000.000000m
001-2, -2249.323,1167.399,6583.278,B,|vA(6583.278473) * 2.038000m + vB(-2249.322928) * 2.038000m + v(1167.398600) * m = 10000.000000m
===2===
===k = 2.039===
  N  , vB,v,vA,col,|p
000  , 0.000,10000.000,0.000,-,|vA(0.000000) * 2.039000m + vB(0.000000) * 2.039000m + v(10000.000000) * m = 10000.000000m
001-1, 0.000,-3418.888,6581.112,A,|vA(6581.112208) * 2.039000m + vB(0.000000) * 2.039000m + v(-3418.887792) * m = 10000.000000m
